Iteration,MeasuredDistance(m),Percent(%),PercentageAbs(%)
278,4038.6477,100.9662,0.9662005
279,4040.1165,101.002914,1.0029128
280,4040.9778,101.02444,1.0244449
281,4039.023,100.975586,0.9755856
282,4041.5874,101.03969,1.0396942
283,4038.6777,100.966965,0.9669555
284,4040.4492,101.011215,1.0112202
285,4042.6328,101.06581,1.0658066
286,4037.901,100.947525,0.94751894
287,4044.3293,101.10823,1.1082294
288,4044.3945,101.10987,1.1098627
289,4043.9536,101.09883,1.0988443
290,4041.5867,101.03968,1.039679
291,4039.4595,100.986496,0.98648804
292,4043.3547,101.08388,1.0838662
293,4044.896,101.12239,1.1223973
294,4045.4558,101.1364,1.136394
295,4039.9512,100.99879,0.9987788
296,4044.3398,101.10848,1.1084898
297,4043.645,101.09113,1.0911355
298,4041.843,101.046074,1.0460752
299,4043.4985,101.08746,1.087466
300,4044.8315,101.120804,1.120789
301,4043.2715,101.0818,1.0817989
302,4043.653,101.091324,1.0913227
303,4044.4941,101.11235,1.1123512
304,4047.0566,101.17641,1.1764181
305,4045.3762,101.134384,1.1343973
306,4044.7007,101.117516,1.1175172
307,4045.3223,101.13306,1.1330576
308,4042.9097,101.07273,1.0727443
309,4043.4175,101.08545,1.0854409
310,4046.6616,101.16654,1.1665385
311,4046.1536,101.153824,1.1538296
312,4044.3066,101.10768,1.1076752
313,4041.939,101.04849,1.0484883
314,4049.216,101.23039,1.2303977
315,4043.4011,101.08503,1.0850276
316,4046.3198,101.15801,1.158005
317,4047.034,101.17586,1.1758559
318,4046.6863,101.16717,1.167158
319,4047.5132,101.18783,1.1878271
320,4042.431,101.06077,1.0607679
321,4045.1472,101.12868,1.1286821
322,4050.5093,101.26273,1.2627313
323,4051.3745,101.28436,1.2843643
324,4047.8716,101.19679,1.1967908
325,4043.4663,101.08666,1.0866561
326,4049.2878,101.2322,1.2322056
327,4051.2747,101.28187,1.2818638
328,4049.4949,101.23735,1.237365
329,4046.1128,101.15283,1.1528336
330,4046.9597,101.17399,1.1739886
331,4049.8403,101.24602,1.2460152
332,4052.2578,101.30644,1.306449
333,4047.879,101.196976,1.196979
334,4049.9133,101.247826,1.2478307
335,4047.2974,101.18244,1.1824285
336,4047.4243,101.18561,1.1856053
337,4047.1133,101.17785,1.1778424
338,4050.914,101.27284,1.2728443
339,4048.1587,101.20396,1.2039587
340,4044.862,101.12157,1.1215526
341,4048.627,101.215675,1.2156757
342,4048.3796,101.20949,1.2094965
343,4050.8667,101.27167,1.271673
344,4050.1055,101.25264,1.2526424
345,4051.0813,101.27704,1.2770344
346,4051.8855,101.29715,1.29714
347,4052.2446,101.30612,1.3061286
348,4049.513,101.237816,1.2378241
349,4048.854,101.22135,1.2213458
350,4052.918,101.32296,1.3229622
351,4051.83,101.29576,1.2957507
352,4052.0593,101.30148,1.3014872
353,4050.5613,101.26405,1.2640537
354,4046.3938,101.15986,1.1598477
355,4048.0552,101.20139,1.2013884
356,4048.1804,101.20451,1.2045192
357,4055.2852,101.382126,1.3821259
358,4053.5454,101.33866,1.3386433
359,4055.254,101.38133,1.3813365
360,4051.47,101.286766,1.2867591
361,4048.7156,101.2179,1.2178952
362,4054.5774,101.36444,1.3644379
363,4053.3625,101.33406,1.3340601
364,4049.4766,101.23692,1.2369225
365,4052.731,101.318275,1.3182703
366,4055.7095,101.39272,1.3927345
367,4053.1633,101.32907,1.3290784
368,4050.3267,101.25816,1.2581679
369,4053.4226,101.33558,1.3355709
370,4049.7976,101.24493,1.244935
371,4051.4324,101.28581,1.2858199
372,4054.2456,101.356155,1.3561428
373,4052.9048,101.32262,1.3226204
374,4057.0828,101.42708,1.4270748
375,4057.7114,101.44277,1.4427825
376,4052.089,101.30223,1.3022246
377,4055.155,101.37889,1.3788825
378,4055.664,101.39161,1.3916147
379,4054.4805,101.362015,1.3620169
380,4056.9683,101.42421,1.4242092
381,4056.062,101.40155,1.4015468
382,4057.452,101.43631,1.4363048
383,4053.8599,101.34648,1.3464803
384,4054.0266,101.35067,1.3506663
385,4057.485,101.43713,1.4371355
386,4057.8813,101.44704,1.4470347
387,4053.8394,101.34599,1.3459909
388,4058.7664,101.46917,1.4691612
389,4060.8723,101.521805,1.5218039
390,4058.1235,101.45308,1.4530846
391,4057.941,101.448524,1.4485142
392,4057.3398,101.43349,1.4334934
393,4056.5457,101.41365,1.4136488
394,4056.5933,101.41484,1.4148388
395,4061.4375,101.53594,1.5359418
396,4061.9312,101.54829,1.5482861
397,4058.3914,101.45979,1.4597844
398,4055.3887,101.38472,1.3847237
399,4056.5571,101.413925,1.4139336
400,4053.5781,101.33944,1.3394525
401,4057.0894,101.42723,1.4272358
402,4059.981,101.49951,1.4995197
403,4061.1863,101.52968,1.5296661
404,4062.802,101.57005,1.5700533
405,4057.0215,101.42554,1.4255372
406,4060.3223,101.50807,1.5080594
407,4060.6978,101.51743,1.5174398
408,4061.9348,101.548355,1.5483644
409,4064.357,101.60893,1.6089302
410,4061.2788,101.53197,1.5319712
411,4059.8853,101.49713,1.4971288
412,4060.838,101.52095,1.52095
413,4056.071,101.40178,1.4017665
414,4055.1218,101.378044,1.3780435
415,4059.438,101.48595,1.4859473
416,4062.5332,101.56332,1.5633215
417,4059.4336,101.48583,1.4858396
418,4059.9883,101.49972,1.4997112
419,4064.1223,101.60305,1.603055
420,4062.106,101.55265,1.5526443
421,4062.161,101.55403,1.5540335
422,4061.359,101.53398,1.533971
423,4064.1948,101.60487,1.6048717
424,4061.4934,101.53733,1.5373253
425,4064.5496,101.613754,1.6137482
426,4061.39,101.534744,1.534749
427,4061.123,101.52808,1.5280734
428,4059.964,101.499115,1.49911
429,4057.6829,101.44206,1.442064
430,4062.5652,101.564125,1.5641328
431,4060.1157,101.50291,1.502894
432,4061.3965,101.53493,1.5349203
433,4064.0005,101.600006,1.6000122
434,4062.317,101.55791,1.557907
435,4063.1323,101.57832,1.5783131
436,4063.0833,101.57707,1.5770746
437,4060.2905,101.50725,1.5072646
438,4058.4849,101.46211,1.4621074
439,4059.0906,101.47726,1.4772623
440,4065.5886,101.63971,1.6397169
441,4068.0806,101.702,1.7020044
442,4065.2944,101.63237,1.6323627
443,4072.2983,101.807465,1.8074601
444,4071.8755,101.79688,1.7968851
445,4068.2988,101.707466,1.7074648
446,4060.6855,101.51715,1.5171479
447,4061.089,101.527245,1.5272306
448,4064.6555,101.61639,1.6163934
449,4059.4634,101.48659,1.4865838
450,4062.4106,101.560265,1.5602639
451,4064.9805,101.6245,1.624501
452,4065.5828,101.63959,1.6395708
453,4068.2837,101.7071,1.7070944
454,4067.436,101.6859,1.6858937
455,4062.0703,101.55177,1.5517763
456,4065.7983,101.64496,1.6449642
457,4057.8992,101.44747,1.4474735
458,4059.4714,101.48678,1.4867799
459,4066.5884,101.66472,1.6647079
460,4072.9922,101.82478,1.8247881
461,4071.5378,101.78847,1.788454
462,4066.4702,101.66176,1.6617635
463,4065.1606,101.62901,1.6290207
464,4067.5266,101.68817,1.6881664
465,4063.1672,101.57918,1.5791894
466,4061.6016,101.54004,1.5400481
467,4064.289,101.60722,1.6072228
468,4067.0774,101.676926,1.67694
469,4070.2063,101.75517,1.7551632
470,4070.1738,101.75434,1.7543337
471,4066.7598,101.669,1.6689953
472,4066.0767,101.65192,1.651922
473,4063.806,101.59515,1.5951502
474,4063.9097,101.59773,1.5977334
475,4065.7163,101.64292,1.6429075
476,4067.7324,101.69331,1.69331
477,4069.189,101.72974,1.7297297
478,4072.6309,101.81577,1.8157768
479,4068.5234,101.71307,1.7130817
480,4062.664,101.56661,1.5666072
481,4069.416,101.73538,1.7353876
482,4075.391,101.88478,1.8847864
483,4076.3645,101.9091,1.9091156
484,4070.7434,101.76858,1.768584
485,4070.1206,101.75304,1.753027
486,4062.5059,101.56264,1.5626324
487,4072.2153,101.805374,1.8053795
488,4075.8704,101.89677,1.8967673
489,4073.5942,101.83985,1.8398476
490,4068.8188,101.72048,1.7204832
491,4072.0796,101.80199,1.8019917
492,4073.146,101.82866,1.8286518
493,4071.7898,101.79473,1.7947409
494,4068.4556,101.71138,1.7113918
495,4065.83,101.64576,1.6457573
496,4073.1206,101.82802,1.8280118
497,4071.166,101.77914,1.7791456
498,4072.065,101.80161,1.8016121
499,4075.609,101.890236,1.8902336
500,4078.6953,101.96737,1.9673738
501,4076.9258,101.92314,1.9231389
502,4073.629,101.84071,1.8407192
503,4070.8582,101.77145,1.7714462
504,4066.7358,101.6684,1.6683922
505,4073.0454,101.82613,1.8261416
506,4071.4312,101.785774,1.7857857
507,4077.1438,101.9286,1.9285825
508,4074.9536,101.87384,1.8738362
509,4078.2063,101.955154,1.9551643
510,4075.9875,101.89969,1.8996828
511,4084.2825,102.10705,2.1070545
512,4075.9739,101.89936,1.8993485
513,4069.472,101.7368,1.7367907
514,4070.1633,101.75408,1.7540863
515,4078.2368,101.955925,1.9559307
516,4074.2324,101.85581,1.8558124
517,4074.952,101.873795,1.8737977
518,4071.4634,101.7866,1.7865915
519,4065.9155,101.64787,1.647888
520,4071.063,101.77657,1.7765749
521,4077.4688,101.936714,1.9367167
522,4077.8406,101.946014,1.9460166
523,4073.9,101.847496,1.8475002
524,4082.1062,102.05266,2.052656
525,4084.1177,102.10296,2.1029463
526,4075.7622,101.89405,1.8940462
527,4067.89,101.69725,1.6972549
528,4072.632,101.815796,1.8158026
529,4076.903,101.922585,1.9225782
530,4073.3481,101.8337,1.8337157
531,4080.9426,102.02357,2.0235696
532,4080.6804,102.01701,2.0170069
533,4080.2,102.00502,2.0050144
534,4079.946,101.99865,1.998656
535,4080.3599,102.00899,2.008988
536,4076.6348,101.915855,1.9158652
537,4074.0144,101.85036,1.8503519
538,4075.7063,101.892654,1.892659
539,4079.7278,101.993195,1.9931978
540,4081.7798,102.04449,2.0444934
541,4085.0454,102.12614,2.126124
542,4083.7258,102.093155,2.0931528
543,4080.4292,102.01075,2.0107467
544,4081.0747,102.02687,2.0268705
545,4082.6614,102.06655,2.0665379
546,4085.5093,102.13772,2.1377208
547,4085.1626,102.12906,2.1290588
548,4077.9395,101.94848,1.9484799
549,4082.024,102.05061,2.0506012
550,4081.2358,102.030876,2.0308785
551,4081.2905,102.03227,2.0322638
552,4081.1907,102.02975,2.0297525
553,4083.939,102.09848,2.098472
554,4089.862,102.24655,2.2465587
555,4083.7688,102.094215,2.094212
556,4085.2324,102.13081,2.130816
557,4082.811,102.070274,2.0702765
558,4079.2688,101.981705,1.9817079
559,4080.5024,102.012566,2.0125675
560,4084.2363,102.10591,2.10591
561,4083.6152,102.090385,2.0903845
562,4083.1992,102.07999,2.079988
563,4082.1562,102.0539,2.0539029
564,4084.6694,102.116745,2.1167421
565,4089.4922,102.23732,2.2373166
566,4087.2695,102.18174,2.1817353
567,4091.6765,102.291916,2.2919197
568,4086.391,102.1598,2.1597867
569,4081.3638,102.03408,2.0340965
570,4083.232,102.080795,2.080797
571,4081.9773,102.04943,2.0494287
572,4086.2578,102.15645,2.1564472
573,4081.8218,102.04553,2.0455315
574,4081.9448,102.04862,2.0486095
575,4076.8308,101.92076,1.9207604
576,4081.1125,102.027794,2.0278056
577,4087.2612,102.18151,2.1815174
578,4084.8992,102.12248,2.1224842
579,4085.6653,102.14164,2.1416368
580,4089.8054,102.24513,2.2451382
581,4081.647,102.04116,2.0411675
