Iteration,MeasuredDistance(m),Percent(%),PercentageAbs(%)
1068,4007.0994,100.17748,0.1774826
1071,4015.3206,100.38302,0.3830185
1074,4012.7988,100.31997,0.31996918
1077,4013.7964,100.34491,0.34490967
1080,4005.9326,100.148315,0.14831543
1083,4015.275,100.381874,0.38187408
1086,4018.111,100.452774,0.45277405
1089,4026.5361,100.66341,0.6634064
1092,4000.9702,100.02426,0.024261475
1095,4028.3184,100.70796,0.70796204
1098,4008.2195,100.20548,0.20548248
1101,4000.2825,100.007065,0.0070648193
1104,4020.618,100.51544,0.5154419
1107,4018.0613,100.45153,0.45153046
1110,4017.284,100.4321,0.4320984
1113,4030.305,100.75762,0.75762177
1116,4016.1802,100.40451,0.4045105
1119,4014.2642,100.3566,0.3565979
1122,4000.805,100.02013,0.020126343
1125,4024.3438,100.6086,0.6085968
1128,4016.5159,100.412895,0.4128952
1131,4002.6057,100.06514,0.06513977
1134,4030.458,100.76145,0.7614517
1137,4011.696,100.2924,0.29239655
1140,4027.566,100.68915,0.68914795
1143,4019.1243,100.47811,0.47811127
1146,4004.1167,100.10291,0.1029129
1149,4008.265,100.20663,0.20662689
1152,4016.6785,100.41696,0.41696167
1155,4026.2456,100.65614,0.6561432
1158,4028.939,100.72348,0.7234802
1161,4006.922,100.17306,0.17305756
1164,4003.6016,100.09004,0.090042114
1167,4030.8545,100.77136,0.7713623
1170,4011.25,100.28125,0.28125
1173,4028.5708,100.71427,0.71427155
1176,4021.8713,100.54678,0.54678345
1179,4003.7559,100.093895,0.09389496
1182,4017.8838,100.44709,0.44709015
1185,4008.3425,100.208565,0.20856476
1188,4000.649,100.01623,0.016227722
1191,4007.0396,100.175995,0.17599487
1194,4015.0947,100.377365,0.3773651
1197,4016.7686,100.41921,0.41921234
1200,4007.0784,100.17696,0.1769638
1203,4016.5413,100.41353,0.41352844
1206,4024.6255,100.61564,0.61563873
1209,4028.4763,100.71191,0.71190643
1212,4027.787,100.69468,0.69467926
1215,4008.7412,100.21853,0.21852875
1218,4021.067,100.52667,0.52667236
1221,4008.6162,100.21541,0.21540833
1224,4032.2844,100.807106,0.807106
1227,4018.7114,100.46779,0.4677887
1230,4014.9004,100.372505,0.3725052
1233,4020.3215,100.50804,0.5080414
1236,4008.9,100.2225,0.22250366
1239,4029.452,100.7363,0.7362976
1242,4028.335,100.708374,0.708374
1245,4003.2878,100.0822,0.0821991
