Iteration,MeasuredDistance(m),Percent(%),PercentageAbs(%)
409,4010.9187,100.2729,0.27293468
410,4010.3909,100.259705,0.2597655
411,4010.8523,100.27132,0.27134565
412,4010.881,100.27193,0.27201396
413,4010.6785,100.266945,0.26698786
414,4010.9517,100.27389,0.2738057
415,4010.8127,100.27037,0.2703675
416,4010.8718,100.27181,0.27185687
417,4011.016,100.275345,0.27537128
418,4010.5784,100.26442,0.2643853
419,4010.8691,100.271736,0.2717606
420,4011.1267,100.27809,0.2781456
421,4010.7214,100.267975,0.26799428
422,4011.0933,100.27729,0.27733275
423,4010.706,100.26767,0.26766503
424,4011.3179,100.28285,0.2829239
425,4010.9978,100.27484,0.27487177
426,4011.0806,100.276955,0.27701476
427,4011.1567,100.27887,0.27888608
428,4011.0396,100.27608,0.2760362
429,4010.62,100.26554,0.26549858
430,4011.2979,100.28233,0.28238904
431,4010.998,100.275116,0.2750596
432,4011.136,100.27843,0.27842566
433,4011.2263,100.28058,0.28063285
434,4011.0073,100.27516,0.27521852
435,4011.5342,100.28837,0.28836292
436,4011.195,100.27987,0.27987385
437,4011.4478,100.28619,0.28624392
438,4011.6006,100.28997,0.29000628
439,4011.26,100.28155,0.2815093
440,4011.3406,100.2835,0.2835083
441,4011.3645,100.284096,0.28402892
442,4011.5977,100.28997,0.28995466
443,4011.3923,100.284805,0.284872
444,4011.0195,100.2755,0.27547175
445,4011.6978,100.29237,0.29242578
446,4011.5635,100.289055,0.28902233
447,4011.597,100.29003,0.28998527
448,4011.365,100.284164,0.28414026
449,4011.6958,100.29231,0.2923773
450,4011.3591,100.2841,0.28399524
451,4011.653,100.29136,0.29133353
452,4011.72,100.293015,0.2929659
453,4011.6812,100.292015,0.2919953
454,4011.6025,100.29,0.29001135
455,4011.7273,100.293144,0.29317823
456,4011.9446,100.298615,0.29861283
457,4011.4224,100.28559,0.2855885
458,4011.5024,100.287476,0.2875171
459,4011.9333,100.29831,0.29833403
460,4011.8083,100.29521,0.29521278
461,4012.0635,100.301544,0.30154297
462,4012.0962,100.302376,0.30234045
463,4011.782,100.29445,0.2944693
464,4011.1934,100.279686,0.27975038
465,4011.9473,100.29878,0.29871067
466,4012.469,100.311745,0.3117135
467,4011.8015,100.295074,0.29507124
468,4012.6267,100.31557,0.31559253
469,4011.81,100.295204,0.29524654
470,4012.2192,100.30554,0.30552486
471,4012.3064,100.30758,0.30759093
472,4012.4126,100.31026,0.3102634
473,4011.8901,100.29725,0.29725695
474,4011.9429,100.29859,0.29854456
475,4012.363,100.30916,0.3091404
476,4012.4092,100.31023,0.31020737
477,4012.0566,100.3015,0.30143586
478,4012.4187,100.31037,0.31047082
479,4012.4243,100.31057,0.3105217
480,4012.5933,100.31482,0.31488082
481,4012.4106,100.31028,0.31023848
482,4012.7332,100.31829,0.31831056
483,4012.3303,100.308395,0.30834356
484,4012.5747,100.31432,0.31438622
485,4013.1582,100.3289,0.3289969
486,4012.2246,100.30562,0.30558813
487,4012.757,100.31894,0.31888857
488,4012.423,100.31053,0.31056032
489,4012.6252,100.31563,0.31562978
490,4012.8032,100.320076,0.32009625
491,4012.7117,100.31771,0.31776983
492,4012.5356,100.31344,0.31336954
493,4013.0466,100.32608,0.32608685
494,4012.9158,100.32283,0.32285854
495,4012.7505,100.318825,0.31873164
496,4012.5374,100.31337,0.31337792
497,4013.0862,100.32705,0.32709876
498,4012.6084,100.3152,0.3151995
499,4012.9043,100.32259,0.32257032
500,4013.1194,100.32809,0.32802522
501,4012.7966,100.31995,0.31987906
502,4013.2317,100.33086,0.3308057
503,4012.76,100.31903,0.31902936
504,4013.0562,100.326324,0.32630402
505,4013.3784,100.33449,0.33448398
506,4013.1064,100.32771,0.32765263
507,4013.052,100.32645,0.32635778
508,4013.1975,100.329895,0.32989612
509,4013.406,100.33508,0.3350914
510,4013.3005,100.33253,0.33250856
511,4013.3035,100.332596,0.33252624
512,4012.8262,100.32063,0.32069108
513,4013.401,100.33496,0.33500117
514,4013.2947,100.33243,0.33241016
515,4013.2976,100.33236,0.33241016
516,4013.4783,100.33681,0.336884
517,4013.5825,100.33952,0.3395352
518,4013.1582,100.328995,0.32897827
519,4012.992,100.324684,0.32471833
520,4013.68,100.342,0.3419936
521,4013.25,100.331375,0.33135703
522,4013.5698,100.3393,0.33919105
523,4013.8003,100.344955,0.3449736
524,4013.2585,100.33142,0.33147013
525,4013.8022,100.34511,0.34503698
526,4013.5889,100.3397,0.33974358
527,4013.5474,100.33861,0.33867806
528,4013.8203,100.34557,0.3456179
529,4014.057,100.351395,0.3513927
530,4013.7576,100.34403,0.34394833
531,4013.4634,100.33658,0.3366347
532,4013.7283,100.34323,0.34319445
533,4013.648,100.341156,0.3411673
534,4013.9182,100.347984,0.34797925
535,4012.9587,100.323944,0.32392654
536,4014.0662,100.35158,0.35160807
537,4013.5957,100.3399,0.3399357
538,4014.09,100.35228,0.35229486
539,4013.639,100.340996,0.34097847
540,4014.3872,100.35959,0.3596355
541,4014.0286,100.3508,0.35071898
542,4014.4617,100.36157,0.36157215
543,4013.9915,100.34975,0.34974927
544,4014.092,100.352356,0.3523561
545,4014.424,100.360634,0.36064637
546,4014.595,100.364876,0.36484802
547,4014.5444,100.36371,0.36360595
548,4013.7178,100.342926,0.34295893
549,4014.2573,100.35642,0.35643318
550,4014.2734,100.35685,0.3568869
551,4014.502,100.36255,0.3625519
552,4014.2175,100.355354,0.35545093
553,4014.8098,100.37032,0.37024102
554,4014.391,100.35978,0.3597431
555,4014.8855,100.372185,0.37219983
556,4014.2834,100.357086,0.35712183
557,4014.4897,100.36213,0.36218998
558,4014.4036,100.360115,0.36007392
559,4014.1938,100.35482,0.35485402
560,4014.4944,100.36234,0.36238638
561,4014.7256,100.36808,0.36813185
562,4014.5044,100.36253,0.36251268
563,4014.4536,100.36145,0.36135897
564,4014.1648,100.354095,0.35411313
565,4015.4463,100.386246,0.38617122
566,4014.6895,100.367325,0.36724335
567,4014.129,100.353264,0.35325626
568,4015.1929,100.379715,0.37981495
569,4015.031,100.375725,0.37576592
570,4014.759,100.368935,0.36901668
571,4015.0383,100.375885,0.375903
572,4014.775,100.36939,0.3693748
573,4014.5125,100.362885,0.3628497
574,4014.9075,100.37268,0.37269714
575,4014.6404,100.366066,0.366052
576,4014.4736,100.36183,0.36183694
577,4014.822,100.37057,0.3704392
578,4014.8003,100.36997,0.37001845
579,4015.3179,100.38304,0.38296935
580,4014.5977,100.36507,0.36497387
581,4015.3857,100.384705,0.38463154
582,4015.1245,100.378136,0.3781284
583,4015.6006,100.39001,0.38997832
584,4015.1672,100.37911,0.37914965
585,4014.84,100.37101,0.37098268
586,4015.1433,100.37856,0.37857586
587,4015.3643,100.38405,0.3840484
588,4015.253,100.3813,0.38131788
589,4015.0618,100.37653,0.37653604
590,4015.255,100.381386,0.38141847
591,4015.9043,100.3976,0.3976176
592,4015.4075,100.38523,0.38520497
593,4014.8535,100.37143,0.3713425
594,4015.8804,100.39679,0.39683643
595,4015.1362,100.37839,0.37838805
596,4015.894,100.39731,0.39739126
597,4015.4346,100.38591,0.38592717
598,4015.9836,100.39968,0.39966255
599,4015.4377,100.38601,0.3859928
600,4015.4583,100.38639,0.38646662
601,4015.8188,100.39544,0.39548042
602,4016.0034,100.40009,0.40001154
603,4015.2764,100.38204,0.38200486
604,4015.888,100.39722,0.3972063
605,4016.798,100.419945,0.4198259
606,4015.265,100.38167,0.38163555
607,4015.871,100.39674,0.396703
608,4015.8484,100.3962,0.39623138
609,4016.248,100.40611,0.40612078
610,4015.1223,100.37812,0.37808192
611,4015.9688,100.39917,0.3992218
612,4016.318,100.40798,0.40798554
613,4016.1067,100.40268,0.4026696
614,4015.7642,100.394066,0.3941096
615,4015.823,100.39554,0.39559004
616,4016.2292,100.40567,0.40571284
617,4015.9763,100.399414,0.3993766
618,4016.6106,100.41515,0.4152475
